SYEAR,SMTH,NAICS,_EMPLOYMENT_
2016,1,Aboriginal public administration[914],3500
2016,1,Accommodation services[721],34750
2016,1,Administrative and support services[561],89500
2016,1,Air transportation[481],9250
2016,1,Ambulatory health care services[621],82250
2016,1,"Amusement, gambling and recreation industries[713]",40500
2016,1,Animal production and aquaculture[112],6250
2016,1,Beverage and tobacco product manufacturing[312],7000
2016,1,Broadcasting (except Internet)[515],3500
2016,1,Building material and garden equipment and supplies dealers[444],16250
2016,1,Building material and supplies merchant wholesalers[416],18000
2016,1,"Business-to-business electronic markets, and agents and brokers[419]",0
2016,1,Chemical manufacturing[325],4000
2016,1,Clothing and clothing accessories stores[448],29750
2016,1,Clothing manufacturing[315],5000
2016,1,Computer and electronic product manufacturing[334],7500
2016,1,Construction of buildings[236],70500
2016,1,Couriers and messengers[492],6000
2016,1,Credit intermediation and related activities[522],31000
2016,1,Crop production[111],9250
2016,1,"Data processing, hosting, and related services[518]",3000
2016,1,Educational services[611],176750
2016,1,"Electrical equipment, appliance and component manufacturing[335]",7500
2016,1,Electronics and appliance stores[443],6500
2016,1,Fabricated metal product manufacturing[332],13250
2016,1,Farm product merchant wholesalers[411],500
2016,1,Federal government public administration[911],33250
2016,1,"Fishing, hunting and trapping[114]",2000
2016,1,Food and beverage stores[445],72000
2016,1,Food manufacturing[311],24500
2016,1,Food services and drinking places[722],122750
2016,1,"Food, beverage and tobacco merchant wholesalers[413]",16750
2016,1,Forestry and logging[113],12250
2016,1,Funds and other financial vehicles[526],0
2016,1,Furniture and home furnishings stores[442],9250
2016,1,Furniture and related product manufacturing[337],7750
2016,1,Gasoline stations[447],11000
2016,1,General merchandise stores[452],25500
2016,1,Health and personal care stores[446],35250
2016,1,Heavy and civil engineering construction[237],20000
2016,1,Heritage institutions[712],1750
2016,1,Hospitals[622],101750
2016,1,Insurance carriers and related activities[524],32750
2016,1,International and other extra-territorial public administration[919],0
2016,1,Leather and allied product manufacturing[316],0
2016,1,Lessors of non-financial intangible assets (except copyrighted works)[533],0
2016,1,"Local, municipal and regional public administration[913]",32250
2016,1,Machinery manufacturing[333],8000
2016,1,"Machinery, equipment and supplies merchant wholesalers[417]",18750
2016,1,Mining and quarrying (except oil and gas)[212],17000
2016,1,Miscellaneous manufacturing[339],12750
2016,1,Miscellaneous merchant wholesalers[418],14250
2016,1,Miscellaneous store retailers[453],22500
2016,1,Motion picture and sound recording industries[512],21500
2016,1,Motor vehicle and motor vehicle parts and accessories merchant wholesalers[415],4750
2016,1,Motor vehicle and parts dealers[441],33250
2016,1,Non-metallic mineral product manufacturing[327],3500
2016,1,Non-store retailers[454],5500
2016,1,Nursing and residential care facilities[623],51250
2016,1,Oil and gas extraction[211],4250
2016,1,Other,750
2016,1,Other information services[519],4250
2016,1,Paper manufacturing[322],10500
2016,1,"Performing arts, spectator sports and related industries[711]",17000
2016,1,Personal and household goods merchant wholesalers[414],6000
2016,1,Personal and laundry services[812],44500
2016,1,Petroleum and coal product manufacturing[324],0
2016,1,Petroleum and petroleum products merchant wholesalers[412],2250
2016,1,Pipeline transportation[486],250
2016,1,Plastics and rubber products manufacturing[326],5500
2016,1,Postal service[491],5750
2016,1,Primary metal manufacturing[331],3000
2016,1,Printing and related support activities[323],6750
2016,1,Private households[814],9000
2016,1,"Professional, scientific and technical services[541]",187000
2016,1,Provincial and territorial public administration[912],27750
2016,1,Publishing industries[511],16250
2016,1,Rail transportation[482],3500
2016,1,Real estate[531],42500
2016,1,"Religious, grant-making, civic, and professional and similar organizations[813]",23250
2016,1,Rental and leasing services[532],3500
2016,1,Repair and maintenance[811],29750
2016,1,Scenic and sightseeing transportation[487],250
2016,1,"Securities, commodity contracts, and other financial investment and related acti",15000
2016,1,Social assistance[624],63250
2016,1,Specialty trade contractors[238],107000
2016,1,"Sporting goods, hobby, book and music stores[451]",10250
2016,1,Support activities for agriculture and forestry[115],6000
2016,1,"Support activities for mining, and oil and gas extraction[213]",8000
2016,1,Support activities for transportation[488],26750
2016,1,Telecommunications[517],16500
2016,1,Textile mills[313],0
2016,1,Textile product mills[314],4000
2016,1,Transit and ground passenger transportation[485],18500
2016,1,Transportation equipment manufacturing[336],9000
2016,1,Truck transportation[484],41500
2016,1,Utilities[221],14500
2016,1,Warehousing and storage[493],8000
2016,1,Waste management and remediation services[562],2750
