SYEAR,SMTH,NAICS,_EMPLOYMENT_
1997,1,Aboriginal public administration[914],500
1997,1,Accommodation services[721],24000
1997,1,Administrative and support services[561],56750
1997,1,Air transportation[481],17000
1997,1,Ambulatory health care services[621],40000
1997,1,"Amusement, gambling and recreation industries[713]",20000
1997,1,Animal production and aquaculture[112],13500
1997,1,Beverage and tobacco product manufacturing[312],2500
1997,1,Broadcasting (except Internet)[515],4750
1997,1,Building material and garden equipment and supplies dealers[444],16000
1997,1,Building material and supplies merchant wholesalers[416],10000
1997,1,"Business-to-business electronic markets, and agents and brokers[419]",0
1997,1,Chemical manufacturing[325],2000
1997,1,Clothing and clothing accessories stores[448],17000
1997,1,Clothing manufacturing[315],5000
1997,1,Computer and electronic product manufacturing[334],7000
1997,1,Construction of buildings[236],28750
1997,1,Couriers and messengers[492],8250
1997,1,Credit intermediation and related activities[522],44000
1997,1,Crop production[111],8750
1997,1,"Data processing, hosting, and related services[518]",2000
1997,1,Educational services[611],118500
1997,1,"Electrical equipment, appliance and component manufacturing[335]",4000
1997,1,Electronics and appliance stores[443],10000
1997,1,Fabricated metal product manufacturing[332],11750
1997,1,Farm product merchant wholesalers[411],2000
1997,1,Federal government public administration[911],34750
1997,1,"Fishing, hunting and trapping[114]",4750
1997,1,Food and beverage stores[445],54250
1997,1,Food manufacturing[311],21500
1997,1,Food services and drinking places[722],105250
1997,1,"Food, beverage and tobacco merchant wholesalers[413]",16750
1997,1,Forestry and logging[113],20000
1997,1,Funds and other financial vehicles[526],0
1997,1,Furniture and home furnishings stores[442],11000
1997,1,Furniture and related product manufacturing[337],2750
1997,1,Gasoline stations[447],17000
1997,1,General merchandise stores[452],27250
1997,1,Health and personal care stores[446],14250
1997,1,Heavy and civil engineering construction[237],16000
1997,1,Heritage institutions[712],3500
1997,1,Hospitals[622],62000
1997,1,Insurance carriers and related activities[524],22500
1997,1,International and other extra-territorial public administration[919],0
1997,1,Leather and allied product manufacturing[316],250
1997,1,Lessors of non-financial intangible assets (except copyrighted works)[533],0
1997,1,"Local, municipal and regional public administration[913]",32500
1997,1,Machinery manufacturing[333],6250
1997,1,"Machinery, equipment and supplies merchant wholesalers[417]",18000
1997,1,Management of companies and enterprises[551],1750
