SYEAR,SMTH,NAICS,_EMPLOYMENT_
2011,1,1100,750
2011,1,1111,0
2011,1,1112,750
2011,1,1113,1500
2011,1,1114,5500
2011,1,1119,2500
2011,1,1121,4250
2011,1,1122,0
2011,1,1123,1250
2011,1,1124,0
2011,1,1125,1750
2011,1,1129,3750
2011,1,1132,0
2011,1,1133,8250
2011,1,1141,1500
2011,1,1142,0
2011,1,1151,1250
2011,1,1152,2750
2011,1,1153,2750
2011,1,2100,1750
2011,1,2111,2000
2011,1,2121,6250
2011,1,2122,5500
2011,1,2123,1250
2011,1,2131,7500
2011,1,2211,6500
2011,1,2212,2500
2011,1,2213,1250
2011,1,2361,43750
2011,1,2362,7750
2011,1,2371,3500
2011,1,2372,7000
2011,1,2373,12500
2011,1,2379,3000
2011,1,2381,20500
2011,1,2382,42500
2011,1,2383,30750
2011,1,2389,8500
2011,1,3111,250
2011,1,3112,500
2011,1,3113,750
2011,1,3114,2250
2011,1,3115,250
2011,1,3116,3000
2011,1,3117,1250
2011,1,3118,8250
2011,1,3119,3000
2011,1,3121,9500
2011,1,3122,500
2011,1,3133,0
2011,1,3141,1000
2011,1,3149,0
2011,1,3151,0
2011,1,3152,4000
2011,1,3159,0
2011,1,3161,0
2011,1,3162,0
2011,1,3169,0
2011,1,3211,21750
2011,1,3212,1500
2011,1,3219,11000
2011,1,3221,7750
2011,1,3222,2250
2011,1,3231,4750
2011,1,3241,500
2011,1,3251,1000
2011,1,3252,0
2011,1,3253,0
2011,1,3254,1000
2011,1,3255,750
2011,1,3256,1500
2011,1,3259,1500
2011,1,3261,4500
2011,1,3262,0
2011,1,3271,250
2011,1,3272,1500
2011,1,3273,1750
2011,1,3274,500
2011,1,3279,500
2011,1,3311,500
2011,1,3312,750
2011,1,3313,2500
2011,1,3314,750
2011,1,3315,2500
2011,1,3321,0
2011,1,3322,0
2011,1,3323,8750
2011,1,3324,750
2011,1,3325,250
2011,1,3326,0
2011,1,3327,1500
2011,1,3328,250
2011,1,3329,750
2011,1,3331,3000
2011,1,3332,0
2011,1,3333,2250
2011,1,3334,500
2011,1,3335,1000
2011,1,3336,1250
2011,1,3339,750
2011,1,3341,1500
2011,1,3342,750
2011,1,3343,0
2011,1,3344,1750
2011,1,3345,750
2011,1,3346,500
2011,1,3351,0
2011,1,3352,0
2011,1,3353,250
2011,1,3359,0
2011,1,3361,0
2011,1,3362,1750
2011,1,3363,2500
2011,1,3364,2000
2011,1,3365,0
2011,1,3366,1250
2011,1,3369,0
2011,1,3371,2750
2011,1,3372,1000
2011,1,3379,0
2011,1,3391,2000
2011,1,3399,8500
2011,1,4111,750
2011,1,4121,500
2011,1,4131,14250
2011,1,4132,1500
2011,1,4133,0
2011,1,4141,2000
2011,1,4142,250
2011,1,4143,1750
2011,1,4144,2500
2011,1,4145,3500
2011,1,4151,2500
2011,1,4152,3500
2011,1,4153,0
2011,1,4161,6000
2011,1,4162,750
2011,1,4163,9500
2011,1,4171,1750
2011,1,4172,5500
2011,1,4173,4500
2011,1,4179,5000
2011,1,4181,4750
2011,1,4182,1500
2011,1,4183,1000
2011,1,4184,4500
2011,1,4189,4750
2011,1,4191,0
2011,1,4411,21000
2011,1,4412,2250
