SYEAR,SMTH,NAICS,_EMPLOYMENT_
2000,1,1100,500
2000,1,1111,0
2000,1,1112,2000
2000,1,1113,250
2000,1,1114,7750
2000,1,1119,1000
2000,1,1121,7750
2000,1,1122,0
2000,1,1123,1000
2000,1,1124,250
2000,1,1125,1250
2000,1,1129,2250
2000,1,1131,0
2000,1,1132,0
2000,1,1133,21750
2000,1,1141,5250
2000,1,1142,250
2000,1,1151,1500
2000,1,1152,1000
2000,1,1153,8250
2000,1,2100,0
2000,1,2111,1250
2000,1,2121,2000
2000,1,2122,6000
2000,1,2123,500
2000,1,2131,5000
2000,1,2211,6250
2000,1,2212,2750
2000,1,2213,1500
2000,1,2361,17750
2000,1,2362,9000
2000,1,2371,2750
2000,1,2372,1250
2000,1,2373,7750
2000,1,2379,1500
2000,1,2381,11750
2000,1,2382,23250
2000,1,2383,21500
2000,1,2389,9500
2000,1,3111,1500
2000,1,3112,1250
2000,1,3113,2250
2000,1,3114,750
2000,1,3115,2000
2000,1,3116,4500
2000,1,3117,2000
2000,1,3118,3250
2000,1,3119,2000
2000,1,3121,3250
2000,1,3122,0
2000,1,3131,0
2000,1,3132,0
2000,1,3133,0
2000,1,3141,1500
2000,1,3149,750
2000,1,3151,0
2000,1,3152,4250
2000,1,3159,0
2000,1,3161,0
2000,1,3162,0
2000,1,3169,500
2000,1,3211,28250
2000,1,3212,2000
2000,1,3219,11500
2000,1,3221,20000
2000,1,3222,3500
2000,1,3231,10500
2000,1,3241,1250
2000,1,3251,3000
2000,1,3252,500
2000,1,3253,0
2000,1,3254,4500
2000,1,3255,1000
2000,1,3256,500
2000,1,3259,0
2000,1,3261,6750
2000,1,3262,1250
2000,1,3271,0
2000,1,3272,1500
2000,1,3273,2250
2000,1,3274,500
2000,1,3279,1250
2000,1,3311,1000
2000,1,3312,250
2000,1,3313,3000
2000,1,3314,2750
2000,1,3315,2000
2000,1,3321,250
2000,1,3322,250
2000,1,3323,1750
2000,1,3324,500
2000,1,3325,250
2000,1,3326,1000
2000,1,3327,3000
2000,1,3328,0
