SYEAR,SMTH,NAICS,_EMPLOYMENT_
1997,1,1100,3500
1997,1,1111,250
1997,1,1112,500
1997,1,1113,2250
1997,1,1114,5250
1997,1,1119,250
1997,1,1121,8250
1997,1,1122,500
1997,1,1123,1500
1997,1,1124,500
1997,1,1125,1000
1997,1,1129,2250
1997,1,1132,0
1997,1,1133,19750
1997,1,1141,4750
1997,1,1142,0
1997,1,1151,500
1997,1,1152,1500
1997,1,1153,10000
1997,1,2100,1250
1997,1,2111,1750
1997,1,2121,4500
1997,1,2122,6250
1997,1,2123,500
1997,1,2131,2500
1997,1,2211,5000
1997,1,2212,2750
1997,1,2213,2000
1997,1,2361,20250
1997,1,2362,8250
1997,1,2371,2750
1997,1,2372,3750
1997,1,2373,6750
1997,1,2379,2750
1997,1,2381,14250
1997,1,2382,22500
1997,1,2383,21250
1997,1,2389,15250
1997,1,3111,750
1997,1,3112,500
1997,1,3113,1750
1997,1,3114,1250
1997,1,3115,2500
1997,1,3116,5500
1997,1,3117,1750
1997,1,3118,3500
1997,1,3119,4500
1997,1,3121,2750
1997,1,3122,0
1997,1,3131,0
1997,1,3132,0
1997,1,3133,0
1997,1,3141,1250
1997,1,3149,750
1997,1,3151,0
1997,1,3152,5000
1997,1,3159,0
1997,1,3161,0
1997,1,3162,250
1997,1,3169,0
1997,1,3211,34500
1997,1,3212,4250
1997,1,3219,9250
1997,1,3221,19500
1997,1,3222,1750
1997,1,3231,10500
1997,1,3241,2000
1997,1,3251,500
1997,1,3252,0
1997,1,3253,0
1997,1,3254,1250
1997,1,3255,0
1997,1,3256,0
1997,1,3259,250
1997,1,3261,6250
1997,1,3262,0
1997,1,3271,500
1997,1,3272,1000
1997,1,3273,2250
1997,1,3274,0
1997,1,3279,1000
1997,1,3311,1000
1997,1,3312,1250
1997,1,3313,2750
1997,1,3314,3000
1997,1,3315,3500
1997,1,3321,1000
1997,1,3322,1000
1997,1,3323,4750
1997,1,3324,250
1997,1,3325,750
1997,1,3326,0
1997,1,3327,3250
1997,1,3328,1000
1997,1,3329,250
1997,1,3331,1750
1997,1,3332,0
1997,1,3333,500
1997,1,3334,1250
1997,1,3335,500
1997,1,3336,0
1997,1,3339,2750
1997,1,3341,2250
1997,1,3342,2250
1997,1,3343,0
1997,1,3344,1000
1997,1,3345,1250
1997,1,3346,0
1997,1,3351,1000
1997,1,3352,0
1997,1,3353,500
1997,1,3359,2500
1997,1,3361,2000
1997,1,3362,1250
1997,1,3363,2500
1997,1,3364,2250
1997,1,3365,0
1997,1,3366,3500
1997,1,3369,0
1997,1,3371,2750
1997,1,3372,0
1997,1,3379,0
1997,1,3391,3000
1997,1,3399,5250
1997,1,4111,2000
1997,1,4121,1250
1997,1,4131,13250
1997,1,4132,2750
1997,1,4133,750
1997,1,4141,1000
1997,1,4142,1000
1997,1,4143,1500
1997,1,4144,1500
1997,1,4145,3500
1997,1,4151,1750
1997,1,4152,2500
1997,1,4153,750
1997,1,4161,5250
1997,1,4162,1000
1997,1,4163,4000
1997,1,4171,1000
1997,1,4172,6500
1997,1,4173,5500
1997,1,4179,5000
1997,1,4181,3250
1997,1,4182,500
1997,1,4183,500
1997,1,4184,1500
1997,1,4189,4250
1997,1,4191,0
1997,1,4411,17750
1997,1,4412,2500
1997,1,4413,5500
1997,1,4421,4250
1997,1,4422,6500
1997,1,4431,10250
1997,1,4441,13250
1997,1,4442,2500
1997,1,4451,44250
1997,1,4452,7000
1997,1,4453,3000
1997,1,4461,14000
1997,1,4471,16750
1997,1,4481,11250
1997,1,4482,2000
1997,1,4483,4000
1997,1,4511,6750
1997,1,4513,1500
1997,1,4521,22000
1997,1,4529,5000
1997,1,4531,1750
1997,1,4532,7500
1997,1,4533,1000
1997,1,4539,6000
1997,1,4541,0
1997,1,4542,250
1997,1,4543,6750
1997,1,4811,13750
1997,1,4812,3500
1997,1,4821,7250
1997,1,4831,5500
1997,1,4832,3500
1997,1,4841,19500
1997,1,4842,8000
1997,1,4851,3750
