SYEAR,SMTH,NAICS,_EMPLOYMENT_
2011,1,Aboriginal public administration[914],1750
2011,1,Accommodation services[721],30750
2011,1,Administrative and support services[561],82250
2011,1,Air transportation[481],14250
2011,1,Ambulatory health care services[621],73000
2011,1,"Amusement, gambling and recreation industries[713]",33750
2011,1,Animal production and aquaculture[112],10750
2011,1,Beverage and tobacco product manufacturing[312],9750
2011,1,Broadcasting (except Internet)[515],1750
2011,1,Building material and garden equipment and supplies dealers[444],14000
2011,1,Building material and supplies merchant wholesalers[416],16500
2011,1,"Business-to-business electronic markets, and agents and brokers[419]",0
2011,1,Chemical manufacturing[325],5250
2011,1,Clothing and clothing accessories stores[448],27000
2011,1,Clothing manufacturing[315],4250
2011,1,Computer and electronic product manufacturing[334],5750
2011,1,Construction of buildings[236],51250
2011,1,Couriers and messengers[492],7750
2011,1,Credit intermediation and related activities[522],41500
2011,1,Crop production[111],10250
2011,1,"Data processing, hosting, and related services[518]",0
2011,1,Educational services[611],154500
2011,1,"Electrical equipment, appliance and component manufacturing[335]",500
2011,1,Electronics and appliance stores[443],14250
2011,1,Fabricated metal product manufacturing[332],12250
2011,1,Farm product merchant wholesalers[411],750
2011,1,Federal government public administration[911],44000
2011,1,"Fishing, hunting and trapping[114]",1250
2011,1,Food and beverage stores[445],70000
2011,1,Food manufacturing[311],19500
2011,1,Food services and drinking places[722],141000
2011,1,"Food, beverage and tobacco merchant wholesalers[413]",15500
2011,1,Forestry and logging[113],8500
2011,1,Funds and other financial vehicles[526],0
2011,1,Furniture and home furnishings stores[442],14250
2011,1,Furniture and related product manufacturing[337],3500
2011,1,Gasoline stations[447],6750
2011,1,General merchandise stores[452],39250
2011,1,Health and personal care stores[446],23500
2011,1,Heavy and civil engineering construction[237],26250
2011,1,Heritage institutions[712],3000
2011,1,Hospitals[622],89250
2011,1,Insurance carriers and related activities[524],32500
2011,1,International and other extra-territorial public administration[919],1000
2011,1,Leather and allied product manufacturing[316],0
2011,1,Lessors of non-financial intangible assets (except copyrighted works)[533],0
2011,1,"Local, municipal and regional public administration[913]",30000
2011,1,Machinery manufacturing[333],8000
2011,1,"Machinery, equipment and supplies merchant wholesalers[417]",17000
2011,1,Management of companies and enterprises[551],500
2011,1,Mining and quarrying (except oil and gas)[212],13250
2011,1,Miscellaneous manufacturing[339],10500
2011,1,Miscellaneous merchant wholesalers[418],16500
2011,1,Miscellaneous store retailers[453],19000
